,,min_Predicted_TOTAL,avg_Predicted_TOTAL,max_Predicted_TOTAL,min_GEOTHERMAL,avg_GEOTHERMAL,max_GEOTHERMAL,min_total_renewable,avg_total_renewable,max_total_renewable,min_WIND TOTAL,avg_WIND TOTAL,max_WIND TOTAL,min_SMALL HYDRO,avg_SMALL HYDRO,max_SMALL HYDRO,min_BIOMASS,avg_BIOMASS,max_BIOMASS
9,2016,78.22778,1413.740236986111,3568.5913,775.0,950.0902777777778,985.0,1479.0,4470.544444444445,10116.0,61.0,1408.4416666666666,3695.0,145.0,230.49444444444444,422.0,180.0,239.99583333333334,281.0
9,2017,148.0649,1612.912081916667,3858.7075,911.0,1164.4347222222223,1230.0,1696.0,5325.136111111111,11694.0,131.0,1610.5194444444444,3943.0,244.0,360.35277777777776,577.0,280.0,370.98055555555555,421.0
10,2011,4.4995327,538.6283111504032,2149.5332,766.0,967.4422043010753,1005.0,1627.0,1923.893817204301,2221.0,4.0,535.3534946236559,2170.0,253.0,310.63575268817203,401.0,286.0,367.56048387096774,424.0
10,2012,7.791335,918.6199031061828,2936.9683,853.0,906.7903225806451,926.0,1564.0,1952.6626344086021,2720.0,11.0,917.2311827956989,2965.0,181.0,259.7782258064516,340.0,227.0,331.64784946236557,377.0
10,2013,12.97892,985.0289552163978,3903.118,738.0,808.0793010752689,845.0,1445.0,2366.8024193548385,4378.0,12.0,981.0940860215054,3942.0,126.0,246.78225806451613,370.0,262.0,340.01209677419354,402.0
10,2014,10.284796,1040.4292558978493,3959.432,803.0,871.6182795698925,895.0,1307.0,2804.3185483870966,6325.0,9.0,1037.5860215053763,3997.0,35.0,129.2244623655914,278.0,192.0,297.5860215053763,359.0
10,2015,30.246363,918.6413311303763,3556.358,964.0,1084.0967741935483,1139.0,1432.0,3293.587365591398,7908.0,25.0,914.3427419354839,3555.0,46.0,131.93145161290323,250.0,150.0,246.34274193548387,295.0
11,2011,0.22264367,536.4999341195555,2054.996,0.0,949.8319444444444,1007.0,0.0,1758.6347222222223,2105.0,0.0,539.5472222222222,2106.0,0.0,222.85694444444445,279.0,0.0,360.6666666666667,425.0
11,2014,4.047874,953.6511215120834,3244.7173,867.0,1010.3416666666667,1095.0,1304.0,2696.8527777777776,6034.0,5.0,953.4333333333333,3250.0,14.0,79.85416666666667,189.0,208.0,279.49444444444447,336.0
11,2017,28.394081,1167.3394652236111,3546.0354,598.0,919.2958333333333,1003.0,1505.0,3851.3347222222224,9706.0,0.0,1168.2041666666667,3567.0,175.0,407.8263888888889,636.0,212.0,320.7236111111111,380.0
12,2010,5.1422715,387.37744992137095,1534.9553,939.0,1034.638440860215,1073.0,1780.0,1942.2083333333333,2174.0,-2.0,387.68548387096774,1548.0,240.0,352.0940860215054,426.0,291.0,365.06317204301075,421.0
12,2011,8.068409,391.80660998387094,1873.4908,885.0,990.5846774193549,1001.0,1669.0,1838.7325268817203,2044.0,1.0,386.4260752688172,1901.0,185.0,240.747311827957,325.0,345.0,398.9489247311828,430.0
12,2012,15.3962755,898.7638908380376,3298.767,832.0,908.3319892473119,927.0,1616.0,1954.9314516129032,2955.0,15.0,889.5416666666666,3322.0,219.0,328.4986559139785,436.0,258.0,347.1209677419355,381.0
12,2014,16.390709,733.2818259744623,2837.446,936.0,1056.5,1084.0,1534.0,2500.1706989247314,6278.0,4.0,732.869623655914,2885.0,30.0,216.10752688172042,389.0,179.0,273.31317204301075,334.0
12,2015,27.632755,1294.238984077957,3765.4478,910.0,1009.247311827957,1110.0,1536.0,2899.8575268817203,7070.0,26.0,1294.9556451612902,3848.0,70.0,166.92607526881721,342.0,211.0,272.26881720430106,313.0
12,2016,20.36776,1009.2620557473119,3510.0432,800.0,981.8790322580645,1015.0,1518.0,3208.787634408602,8946.0,6.0,1009.6505376344086,3541.0,175.0,329.34139784946234,481.0,180.0,223.25940860215053,260.0
